entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label
dev_3011,edge_device,2026-07-01 00:08:55,192.168.1.111,"Muellerstad, Factory-Floor",/status,token,12.02,['EXEC /sync'],RTOS v3.0 | MAC:d4:a9:07:1b:7a:67,normal
dev_3012,edge_device,2026-07-01 00:09:49,192.168.1.112,"North Jennifer, Factory-Floor",/status,biometric,291.03,['EXEC /sync'],RTOS v4.0 | MAC:f2:7d:b6:62:29:eb,normal
dev_3015,edge_device,2026-07-01 00:11:59,192.168.1.115,"Mooreside, Factory-Floor",/telemetry/upload,token,64.87,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
dev_3008,edge_device,2026-07-01 00:14:53,192.168.1.108,"Craigmouth, Factory-Floor",/status,token,129.72,['EXEC /sync'],RTOS v4.0 | MAC:f8:16:6c:08:1f:34,normal
svc_2008,service_account,2026-07-01 00:19:22,10.0.0.137,DataCenter-US-East,/internal/backup,certificate,283.35,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3009,edge_device,2026-07-01 00:19:24,192.168.1.109,"New Brianna, Factory-Floor",/telemetry/upload,biometric,258.95,['EXEC /sync'],RTOS v3.0 | MAC:04:8a:a2:2f:4c:34,normal
dev_3006,edge_device,2026-07-01 00:19:26,192.168.1.106,"Brandonburgh, Factory-Floor",/telemetry/upload,token,193.11,['EXEC /sync'],RTOS v3.0 | MAC:32:6f:58:23:49:b0,normal
dev_3016,edge_device,2026-07-01 00:19:31,192.168.1.116,"Brewerland, Factory-Floor",/telemetry/upload,token,297.77,['EXEC /sync'],RTOS v4.0 | MAC:d4:bb:67:54:38:05,normal
dev_3019,edge_device,2026-07-01 00:21:49,192.168.1.119,"Alexandrafurt, Factory-Floor",/status,biometric,103.81,['EXEC /sync'],RTOS v1.0 | MAC:54:3c:eb:3d:b9:99,normal
dev_3004,edge_device,2026-07-01 00:21:50,192.168.1.104,"Port Timothyberg, Factory-Floor",/status,token,146.53,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
dev_3015,edge_device,2026-07-01 00:23:48,192.168.1.115,"Mooreside, Factory-Floor",/status,token,126.35,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
svc_2000,service_account,2026-07-01 00:24:27,10.0.0.194,DataCenter-US-East,/internal/sync,certificate,96.66,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3010,edge_device,2026-07-01 00:25:56,192.168.1.110,"East Heather, Factory-Floor",/telemetry/upload,token,49.39,['EXEC /sync'],RTOS v4.0 | MAC:a0:20:8e:ec:42:f6,normal
svc_2009,service_account,2026-07-01 00:32:53,10.0.0.116,DataCenter-US-East,/healthcheck,certificate,10.21,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2007,service_account,2026-07-01 00:35:24,10.0.0.12,DataCenter-US-East,/healthcheck,certificate,130.87,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3011,edge_device,2026-07-01 00:35:53,192.168.1.111,"Muellerstad, Factory-Floor",/status,token,6.16,['EXEC /sync'],RTOS v3.0 | MAC:d4:a9:07:1b:7a:67,normal
